1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,12,12,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,12,1,1,1,1,1,12,12,12,12,12,12,12,12,1,0,0,0,0,0,0,1,1,1,1
1,30,1,1,1,1,12,12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,1,1,12,1,1,1,1,1
1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,12,11,1,1,1,1,1,1,1,12,1,1,12,0,0,0,0,0,0,0,1,1,1,3,1,1
1,1,1,1,12,12,11,1,1,1,1,1,1,12,12,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,2220,12,12,12,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2161,1,1,2133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2035,1,2045,1,2035,1,1,1,1,1,1,1,1
1,1,1,1,2,2,2,2,2,2,2,2,11,11,11,2,2,2,11,2,11,2,11,11,11,11,11,11,11,11
